"ADIPOR2"	"AEBP2"	"ALG10"	"ARNTL2"	"ATN1"	"C12orf4"	"CCDC77"	"CD9"	"CDCA3"	"COPS7A"	"DERA"	"DNM1L"	"EMG1"	"ERC1"	"ERGIC2"	"FKBP4"	"FOXJ2"	"GAPDH"	"ITFG2"	"KDM5A"	"LPCAT3"	"M6PR"	"MLF2"	"MRPL51"	"MRPS35"	"NCAPD2"	"NECAP1"	"PARP11"	"PEX5"	"PLEKHA5"	"PLEKHG6"	"RAD51AP1"	"RAD52"	"STRAP"	"TULP3"	"USP5"	"WBP11"	"ZNF384"
"TCGA.18.3406.01A.01R.0980.07"	2354.3307	1285.0394	158.2677	449.6063	1614.1732	1288.189	153.5433	19631.4961	158.5512	2519.685	3222.8346	1478.7402	1925.1969	654.3307	1651.9685	3897.6378	716.5354	185588.189	143.3071	1296.063	1187.4016	4061.4488	3580.315	3158.2677	1430.7087	891.3386	1088.9764	429.1339	829.9213	571.6535	303.937	650.3937	93.7008	6198.4252	408.6614	2274.0157	1727.5591	723.622
"TCGA.18.3407.01A.01R.0980.07"	1752.1408	857.2788	208.8487	667.4596	2292.1028	303.5205	130.8278	9729.7812	90.2093	1235.49	712.6546	1655.5661	375.8325	918.6489	594.6717	2137.0124	560.8944	82803.9962	165.5566	1137.0124	1789.7241	2096.4225	2472.4072	1044.2436	657.4691	1491.9125	524.2626	242.6261	798.7631	536.6318	139.8668	149.3815	60.8944	2087.0599	395.3378	1636.5366	1412.9401	779.2578
"TCGA.18.3408.01A.01R.0980.07"	3243.6601	1485.9855	245.588	1665.7274	882.6932	740.3233	178.5555	41420.7326	205.8431	2766.721	3596.6187	1821.1479	1138.3657	677.4433	1833.6052	5028.0291	969.3015	80653.1218	421.1775	1645.5584	2074.4476	6414.1836	3030.1053	2417.9149	1819.3682	2043.6008	1252.2616	430.6688	794.3052	2129.6159	239.0627	427.1096	145.4249	4914.7264	494.1421	2217.4106	2171.1404	1159.7212
"TCGA.18.3409.01A.01R.0980.07"	1662.5641	655.8974	150.2564	134.8718	2236.9231	456.9231	146.6667	8841.0256	148.4462	1446.6667	800.5128	1348.7179	781.0256	1360	849.7436	3696.4103	938.4615	85962.0513	503.5897	1951.2821	1312.8205	3936.1282	3232.3077	1770.7692	1190.2564	1883.5897	870.2564	484.6154	1445.1282	539.4872	43.5897	219.4872	113.3333	2568.2051	747.1795	2620	2164.1026	1150.2564
"TCGA.18.3410.01A.01R.0980.07"	2690.6386	975.6568	176.855	1584.6053	3092.0089	1058.373	370.6472	21260.811	329.683	1570.0315	1378.2088	2192.3722	979.2018	983.1407	987.0795	1225.7748	730.2655	89749.3996	604.2219	1921.3783	996.1389	3760.0522	4551.7523	1779.973	1775.6403	4381.5933	809.8306	488.8131	996.9267	506.538	655.4271	1145.028	244.9974	3823.4561	1026.0743	2310.1443	3005.3539	1197.021
"TCGA.18.3411.01A.01R.0980.07"	2471.2863	945.791	237.3529	1010.5602	2092.3263	372.5234	201.1465	32182.6411	382.4922	2985.0146	1977.6727	1595.4943	1622.8342	539.475	1400.3822	4757.5179	430.0513	87882.1281	193.9053	1353.7162	1902.4439	5540.533	4730.9665	2387.2071	2431.057	2825.3042	853.6659	216.0314	869.3553	986.0203	293.2716	557.9805	60.7463	6187.6697	354.4202	3308.0559	2461.6313	831.5398
"TCGA.18.3412.01A.01R.0980.07"	2845.8529	1218.3099	354.8513	1702.6604	3006.651	553.5994	296.5571	84839.9844	622.5822	3884.1941	2886.1502	1613.8498	2953.4429	871.6745	2077.856	5098.9828	662.3631	141299.2958	415.1017	1525.4304	3987.4804	6117.0188	7531.6901	3480.0469	2458.529	3784.4288	1296.1659	255.4773	1435.8372	595.4617	1012.1283	886.1502	185.1448	4693.662	702.2692	4752.3474	3408.0595	1132.6291
"TCGA.18.3414.01A.01R.0980.07"	2231.8627	973.9708	158.7595	451.9107	3461.6947	633.9302	211.9254	31543.2896	306.7971	2159.8671	865.4237	1771.4602	925.9738	700.0185	938.8961	4517.6297	912.3131	65075.1338	546.7971	1064.0576	2304.2274	4031.667	5410.744	1752.2614	1667.7128	2067.9343	799.3354	128.4844	887.5761	688.573	478.4936	458.9256	117.7774	3058.5195	604.0244	2446.7417	1941.6651	1199.1877
"TCGA.18.3415.01A.01R.0980.07"	2229.4798	965.896	178.6127	3204.6243	2182.0809	745.0867	246.2428	44088.4393	356.8208	2169.3642	1752.6012	1739.3064	1532.3064	667.052	1964.1618	3790.1734	628.9017	145727.7457	260.6936	1429.4798	1930.0578	3737.3237	5079.7688	3054.3353	1867.052	1981.5029	972.8324	94.7977	870.5202	1031.2139	456.6474	425.4335	52.0231	4041.6185	452.0231	2833.526	2218.4971	928.9017
"TCGA.18.3416.01A.01R.0980.07"	3008.7604	1102.9704	180.7599	364.8673	3505.8503	483.1423	267.2346	19157.7647	394.6146	1825.4523	711.8818	2036.3389	796.5153	925.5579	888.1785	10634.7101	791.1037	108289.7124	249.9397	1972.7382	2930.0964	4761.4345	4315.3647	1971.6224	1071.7279	3257.0264	792.7774	147.2859	662.2286	511.5953	479.237	518.848	164.4915	2759.9366	653.86	3217.9733	2557.9764	1208.4137
